family,policy,param,n,err_rel_tol_mean,err_lo,err_hi,success_rate,cost_frac_fine,wall_mean,false_safe_rate
id,uniform_coarse,0.0,720,16.48356441498859,14.933356033779603,18.268660577449975,0.20277777777777778,0.020976697395613777,0.5290220236584092,1.0
id,uniform_medium,1.0,720,2.732706702609333,1.9597768704147729,3.8324838744245584,0.44305555555555554,0.06138876398493412,0.2735849508319714,1.0
id,uniform_fine,2.0,720,0.00030220365038740205,0.00020049432005471427,0.00043601364235310014,1.0,1.0,5.978854948180586,0.0
id,random,0.0,720,2.732706702609333,1.9597768704147729,3.8324838744245584,0.44305555555555554,0.06138876398493412,0.2735849508319714,1.0
id,random,1.0,720,2.2645563399161968,1.4878398891449651,3.354006788243488,0.5583333333333333,0.2220039167529092,1.3154760739430458,0.0
id,random,2.0,720,1.7640447567599922,1.0438846416200853,2.894861921602436,0.6902777777777778,0.4101260586170511,2.395983461040239,0.0
id,random,3.0,720,0.5446806344845123,0.4114823008866648,0.6628583756081531,0.8430555555555556,0.6856668661022284,4.209359966129123,0.0
id,random,4.0,720,0.00030220365038740205,0.00020049432005471427,0.00043601364235310014,1.0,1.0,5.978854948180586,0.0
id,share,0.0,720,2.732706702609333,1.9597768704147729,3.8324838744245584,0.44305555555555554,0.06138876398493412,0.2735849508319714,1.0
id,share,1.0,720,1.133601642752685,0.9824058817239366,1.3228068290922936,0.6541666666666667,0.1904433504622461,1.2472338322028615,0.0
id,share,2.0,720,0.5165286630740898,0.4182250501610833,0.628749898494695,0.8236111111111111,0.4015846588461852,1.6782890976888818,0.0
id,share,3.0,720,0.4480865172212282,0.3614453030154314,0.5598658724031179,0.8472222222222222,0.47517973929972784,1.9590183907541763,0.0
id,share,4.0,720,0.00030220365038740205,0.00020049432005471427,0.00043601364235310014,1.0,1.0613887639849342,6.252439899012557,0.0
id,discrepancy,0.01,720,0.040832613153782685,0.009130391521266107,0.11985713909025987,0.9958333333333333,1.0243582925315522,6.584623710191711,0.0
id,discrepancy,0.020000000000000004,720,0.07067680036284571,0.015741769376566874,0.15412457700587678,0.9930555555555556,1.0089925012556622,6.512419031659874,0.0
id,discrepancy,0.030000000000000006,720,0.07446398812894886,0.019713770802128414,0.15838780596223095,0.9930555555555556,0.9772300647282748,6.444557418029358,0.0
id,discrepancy,0.04000000000000001,720,0.07446404275153827,0.019713803787065887,0.15838785965278415,0.9930555555555556,0.9322848404045636,6.365168613365419,0.0
id,discrepancy,0.05000000000000001,720,0.10368323419451582,0.03249800560369793,0.19374573713031976,0.9902777777777778,0.9166111118720086,6.281249620712682,0.0
id,discrepancy,0.06000000000000001,720,0.143834520960126,0.058362770405477965,0.2582240574629731,0.9833333333333333,0.8975110137217698,6.110203546026559,0.0
id,discrepancy,0.07,720,0.17386512040182492,0.0812151027319628,0.30313010921443434,0.9777777777777777,0.8794639997420759,5.9981348924849,0.012468827930174564
id,discrepancy,0.08,720,0.1738655170403321,0.08121570904302847,0.30313047743022287,0.9777777777777777,0.8694336256818427,5.975688296855722,0.012468827930174564
id,discrepancy,0.09000000000000001,720,0.17446709733439164,0.08189226609373566,0.3038522085740122,0.9777777777777777,0.8548161652006023,5.916576329562607,0.012468827930174564
id,discrepancy,0.1,720,0.18122920972814427,0.08938143645311997,0.3100692333016849,0.975,0.850128227210684,5.8848260279237214,0.012468827930174564
id,discrepancy,0.15,720,0.30164878061117484,0.20573139584136713,0.4379557729048985,0.925,0.8112679624965935,5.7650468725848745,0.017456359102244388
id,discrepancy,0.19999999999999998,720,0.3292088474245673,0.2308716186732658,0.46998814749448964,0.9138888888888889,0.7872947774302677,5.718907037550151,0.017456359102244388
id,discrepancy,0.25,720,0.34077275525780376,0.24192870944320144,0.4784708026653114,0.9111111111111111,0.7783156101842512,5.666744685783487,0.017456359102244388
id,discrepancy,0.3,720,0.3540323884607319,0.257280784316347,0.4928374227389354,0.9055555555555556,0.7683591047555778,5.654671052389009,0.017456359102244388
id,discrepancy,0.35,720,0.392914909432587,0.28761241195782344,0.5331187251772379,0.8888888888888888,0.7515987068599694,5.622276406898694,0.022443890274314215
id,discrepancy,0.39999999999999997,720,0.42429577870967944,0.3163394808990367,0.5701864766401518,0.8805555555555555,0.7367625367729491,5.606707181779135,0.022443890274314215
id,discrepancy,0.44999999999999996,720,0.4592574951097411,0.34626561934686007,0.608533255443116,0.8763888888888889,0.7274873679978908,5.5977046978874565,0.022443890274314215
id,discrepancy,0.5,720,0.49081836881914204,0.3744829184947268,0.6410534966760987,0.8680555555555556,0.7213840869069477,5.566387859341573,0.022443890274314215
id,discrepancy,0.5499999999999999,720,0.5102885021083314,0.3943170357251453,0.6580831498718243,0.8625,0.7137129952563621,5.524983223713783,0.02743142144638404
